date,casual,registered
01-01-11,331,654
02-01-11,131,670
03-01-11,120,1229
04-01-11,108,1454
05-01-11,82,1518
06-01-11,88,1518
07-01-11,148,1362
08-01-11,68,891
09-01-11,54,768
10-01-11,41,1280
11-01-11,43,1220
12-01-11,25,1137
13-01-11,38,1368
14-01-11,54,1367
15-01-11,222,1026
16-01-11,251,953
17-01-11,117,883
18-01-11,9,674
19-01-11,78,1572
20-01-11,83,1844
21-01-11,75,1468
22-01-11,93,888
23-01-11,150,836
24-01-11,86,1330
25-01-11,186,1799
26-01-11,34,472
27-01-11,15,416
28-01-11,38,1129
29-01-11,123,975
30-01-11,140,956
31-01-11,42,1459
01-02-11,47,1313
02-02-11,72,1454
03-02-11,61,1489
04-02-11,88,1620
05-02-11,100,905
06-02-11,354,1269
07-02-11,120,1592
08-02-11,64,1466
09-02-11,53,1552
10-02-11,47,1491
11-02-11,149,1597
12-02-11,288,1184
13-02-11,397,1192
14-02-11,208,1705
15-02-11,140,1675
16-02-11,218,1897
17-02-11,259,2216
18-02-11,579,2348
19-02-11,532,1103
20-02-11,639,1173
21-02-11,195,912
22-02-11,74,1376
23-02-11,139,1778
24-02-11,100,1707
25-02-11,120,1341
26-02-11,424,1545
27-02-11,694,1708
28-02-11,81,1365
01-03-11,137,1714
02-03-11,231,1903
03-03-11,123,1562
04-03-11,214,1730
05-03-11,640,1437
06-03-11,114,491
07-03-11,244,1628
08-03-11,316,1817
09-03-11,191,1700
10-03-11,46,577
11-03-11,247,1730
12-03-11,724,1408
13-03-11,982,1435
14-03-11,359,1687
15-03-11,289,1767
16-03-11,321,1871
17-03-11,424,2320
18-03-11,884,2355
19-03-11,1424,1693
20-03-11,1047,1424
21-03-11,401,1676
22-03-11,460,2243
23-03-11,203,1918
24-03-11,166,1699
25-03-11,300,1910
26-03-11,981,1515
27-03-11,472,1221
28-03-11,222,1806
29-03-11,317,2108
30-03-11,168,1368
31-03-11,179,1506
01-04-11,307,1920
02-04-11,898,1354
03-04-11,1651,1598
04-04-11,734,2381
05-04-11,167,1628
06-04-11,413,2395
07-04-11,571,2570
08-04-11,172,1299
09-04-11,879,1576
10-04-11,1188,1707
11-04-11,855,2493
12-04-11,257,1777
13-04-11,209,1953
14-04-11,529,2738
15-04-11,642,2484
16-04-11,121,674
17-04-11,1558,2186
18-04-11,669,2760
19-04-11,409,2795
20-04-11,613,3331
21-04-11,745,3444
22-04-11,177,1506
23-04-11,1462,2574
24-04-11,1710,2481
25-04-11,773,3300
26-04-11,678,3722
27-04-11,547,3325
28-04-11,569,3489
29-04-11,878,3717
30-04-11,1965,3347
01-05-11,1138,2213
02-05-11,847,3554
03-05-11,603,3848
04-05-11,255,2378
05-05-11,614,3819
06-05-11,894,3714
07-05-11,1612,3102
08-05-11,1401,2932
09-05-11,664,3698
10-05-11,694,4109
11-05-11,550,3632
12-05-11,695,4169
13-05-11,692,3413
14-05-11,902,2507
15-05-11,1582,2971
16-05-11,773,3185
17-05-11,678,3445
18-05-11,536,3319
19-05-11,735,3840
20-05-11,909,4008
21-05-11,2258,3547
22-05-11,1576,3084
23-05-11,836,3438
24-05-11,659,3833
25-05-11,740,4238
26-05-11,758,3919
27-05-11,871,3808
28-05-11,2001,2757
29-05-11,2355,2433
30-05-11,1549,2549
31-05-11,673,3309
01-06-11,513,3461
02-06-11,736,4232
03-06-11,898,4414
04-06-11,1869,3473
05-06-11,1685,3221
06-06-11,673,3875
07-06-11,763,4070
08-06-11,676,3725
09-06-11,563,3352
10-06-11,815,3771
11-06-11,1729,3237
12-06-11,1467,2993
13-06-11,863,4157
14-06-11,727,4164
15-06-11,769,4411
16-06-11,545,3222
17-06-11,863,3981
18-06-11,1807,3312
19-06-11,1639,3105
20-06-11,699,3311
21-06-11,774,4061
22-06-11,661,3846
23-06-11,746,4044
24-06-11,969,4022
25-06-11,1782,3420
26-06-11,1920,3385
27-06-11,854,3854
28-06-11,732,3916
29-06-11,848,4377
30-06-11,1027,4488
01-07-11,1246,4116
02-07-11,2204,2915
03-07-11,2282,2367
04-07-11,3065,2978
05-07-11,1031,3634
06-07-11,784,3845
07-07-11,754,3838
08-07-11,692,3348
09-07-11,1988,3348
10-07-11,1743,3138
11-07-11,723,3363
12-07-11,662,3596
13-07-11,748,3594
14-07-11,888,4196
15-07-11,1318,4220
16-07-11,2418,3505
17-07-11,2006,3296
18-07-11,841,3617
19-07-11,752,3789
20-07-11,644,3688
21-07-11,632,3152
22-07-11,562,2825
23-07-11,987,2298
24-07-11,1050,2556
25-07-11,568,3272
26-07-11,750,3840
27-07-11,755,3901
28-07-11,606,3784
29-07-11,670,3176
30-07-11,1559,2916
31-07-11,1524,2778
01-08-11,729,3537
02-08-11,801,4044
03-08-11,467,3107
04-08-11,799,3777
05-08-11,1023,3843
06-08-11,1521,2773
07-08-11,1298,2487
08-08-11,846,3480
09-08-11,907,3695
10-08-11,884,3896
11-08-11,812,3980
12-08-11,1051,3854
13-08-11,1504,2646
14-08-11,1338,2482
15-08-11,775,3563
16-08-11,721,4004
17-08-11,668,4026
18-08-11,639,3166
19-08-11,797,3356
20-08-11,1914,3277
21-08-11,1249,2624
22-08-11,833,3925
23-08-11,1281,4614
24-08-11,949,4181
25-08-11,435,3107
26-08-11,768,3893
27-08-11,226,889
28-08-11,1415,2919
29-08-11,729,3905
30-08-11,775,4429
31-08-11,688,4370
01-09-11,783,4332
02-09-11,875,3852
03-09-11,1935,2549
