date,season,weather,temp,hum,windspeed
01-01-11,Spring,Cloudy,34.4167,80.5833,10.749882
02-01-11,Spring,Cloudy,36.3478,69.6087,16.652113
03-01-11,Spring,Clear,19.6364,43.7273,16.636703
04-01-11,Spring,Clear,20,59.0435,10.739832
05-01-11,Spring,Clear,22.6957,43.6957,12.5223
06-01-11,Spring,Clear,20.4348,51.8261,6.0008684
07-01-11,Spring,Cloudy,19.6522,49.8696,11.304642
08-01-11,Spring,Cloudy,16.5,53.5833,17.875868
09-01-11,Spring,Clear,13.8333,43.4167,24.25065
10-01-11,Spring,Clear,15.0833,48.2917,14.958889
11-01-11,Spring,Cloudy,16.9091,68.6364,8.182844
12-01-11,Spring,Clear,17.2727,59.9545,20.410009
13-01-11,Spring,Clear,16.5,47.0417,20.167
14-01-11,Spring,Clear,16.087,53.7826,8.478716
15-01-11,Spring,Cloudy,23.3333,49.875,10.583521
16-01-11,Spring,Clear,23.1667,48.375,12.625011
17-01-11,Spring,Cloudy,17.5833,53.75,12.999139
18-01-11,Spring,Cloudy,21.6667,86.1667,9.833925
19-01-11,Spring,Cloudy,29.2174,74.1739,13.957239
20-01-11,Spring,Cloudy,26.1667,53.8333,13.125568
21-01-11,Spring,Clear,17.75,45.7083,23.667214
22-01-11,Spring,Clear,5.91304,40,11.52199
23-01-11,Spring,Clear,9.65217,43.6522,16.5222
24-01-11,Spring,Clear,9.73913,49.1739,10.60811
25-01-11,Spring,Cloudy,22.3478,61.6957,8.696332
26-01-11,Spring,Light Snow,21.75,86.25,19.68795
27-01-11,Spring,Clear,19.5,68.75,7.627079
28-01-11,Spring,Cloudy,20.3478,79.3043,8.2611
29-01-11,Spring,Clear,19.6522,65.1739,9.739455
30-01-11,Spring,Clear,21.6522,72.2174,4.9568342
31-01-11,Spring,Cloudy,18.0833,60.375,12.541864
01-02-11,Spring,Cloudy,19.2174,82.9565,3.565271
02-02-11,Spring,Cloudy,26,77.5417,17.708636
03-02-11,Spring,Clear,18.6957,43.7826,18.609384
04-02-11,Spring,Cloudy,21.1304,58.5217,8.565213
05-02-11,Spring,Cloudy,23.3333,92.9167,10.792293
06-02-11,Spring,Clear,28.5833,56.8333,9.5006
07-02-11,Spring,Clear,27.1667,73.8333,3.0423561
08-02-11,Spring,Clear,22.0833,53.7917,24.25065
09-02-11,Spring,Cloudy,13.4783,49.4783,12.652213
10-02-11,Spring,Clear,14.4348,43.7391,14.869645
11-02-11,Spring,Clear,18.9091,50.6364,7.27285
12-02-11,Spring,Clear,22.25,54.4167,13.625589
13-02-11,Spring,Clear,31.6522,45.7391,17.479161
14-02-11,Spring,Clear,41.5,37.5833,27.999836
15-02-11,Spring,Clear,26.6087,31.4348,19.522058
16-02-11,Spring,Clear,31.8261,42.3478,16.869997
17-02-11,Spring,Clear,43.5833,50.5,15.416968
18-02-11,Spring,Clear,52.1667,51.6667,17.749975
19-02-11,Spring,Clear,39.9167,18.7917,34.000021
20-02-11,Spring,Clear,28.5217,40.7826,14.956745
21-02-11,Spring,Cloudy,30.3333,60.5,20.625682
22-02-11,Spring,Clear,18.2222,57.7778,13.110761
23-02-11,Spring,Clear,22.1739,42.3043,6.305571
24-02-11,Spring,Cloudy,29.5652,69.7391,16.783232
25-02-11,Spring,Cloudy,36.4348,71.2174,23.218113
26-02-11,Spring,Clear,28.25,53.7917,12.500257
27-02-11,Spring,Clear,34.3478,68,8.391616
28-02-11,Spring,Cloudy,40.7273,87.6364,19.408962
01-03-11,Spring,Clear,26.6667,53.5,14.500475
02-03-11,Spring,Clear,33.5,44.9583,20.624811
03-03-11,Spring,Clear,19.8333,31.8333,15.125518
04-03-11,Spring,Cloudy,26.1667,61.0417,13.624182
05-03-11,Spring,Cloudy,38.4167,78.9167,16.875357
06-03-11,Spring,Cloudy,37.6522,94.8261,23.000229
07-03-11,Spring,Clear,26.1739,55.1304,22.870584
08-03-11,Spring,Clear,29.25,42.0833,8.08355
09-03-11,Spring,Cloudy,29.5833,77.5417,14.75005
10-03-11,Spring,Light Snow,38.9091,0,17.545759
11-03-11,Spring,Cloudy,31.6522,64.9565,15.60899
12-03-11,Spring,Clear,32.9167,59.4583,14.791925
13-03-11,Spring,Clear,38.4348,52.7391,18.130468
14-03-11,Spring,Clear,32.5217,49.6957,9.174042
15-03-11,Spring,Cloudy,31.7391,65.5652,12.348703
16-03-11,Spring,Cloudy,36.5217,77.6522,13.608839
17-03-11,Spring,Clear,41.5,60.2917,14.041793
18-03-11,Spring,Clear,54,52.5217,15.478139
19-03-11,Spring,Clear,47.25,37.9167,24.667189
20-03-11,Spring,Clear,33.25,47.375,13.917307
21-03-11,Summer,Cloudy,43.0435,73.7391,19.348461
22-03-11,Summer,Clear,44.1667,62.4583,15.12525
23-03-11,Summer,Cloudy,34.6957,83.9565,15.695487
24-03-11,Summer,Cloudy,28.5,80.5833,16.333729
25-03-11,Summer,Clear,26.4167,49.5,15.458575
26-03-11,Summer,Clear,26.5833,39.4167,14.041257
27-03-11,Summer,Cloudy,25.3043,49.3913,12.3481
28-03-11,Summer,Clear,26.4348,30.2174,14.217668
29-03-11,Summer,Clear,30.25,31.4167,15.208732
30-03-11,Summer,Cloudy,30,64.6667,11.583496
31-03-11,Summer,Light Snow,26.8333,91.8333,14.582282
01-04-11,Summer,Cloudy,30,68.625,17.333436
02-04-11,Summer,Cloudy,31.5,65.375,13.208782
03-04-11,Summer,Clear,37.8333,48,12.208271
04-04-11,Summer,Clear,57.3333,42.625,25.833257
05-04-11,Summer,Cloudy,41.4167,64.2083,26.000489
06-04-11,Summer,Clear,39.0833,47.0833,17.625221
07-04-11,Summer,Clear,43.75,60.2917,10.874904
08-04-11,Summer,Cloudy,33.5833,83.625,15.208464
09-04-11,Summer,Cloudy,34.25,87.75,8.916561
10-04-11,Summer,Cloudy,42.6667,85.75,9.833389
11-04-11,Summer,Cloudy,59.5652,71.6956,21.739758
12-04-11,Summer,Cloudy,50.25,73.9167,18.416893
13-04-11,Summer,Cloudy,41.25,81.9167,16.791339
14-04-11,Summer,Clear,46.75,54.0417,7.4169
15-04-11,Summer,Clear,44.6667,67.125,15.167125
16-04-11,Summer,Light Snow,43.0833,88.8333,22.834136
17-04-11,Summer,Clear,45.6667,47.9583,20.334232
18-04-11,Summer,Clear,51.25,54.25,10.958989
19-04-11,Summer,Cloudy,50.5833,66.5833,10.584057
20-04-11,Summer,Clear,59.5,61.4167,16.208975
21-04-11,Summer,Clear,45.9167,40.7083,21.792286
22-04-11,Summer,Cloudy,33.6667,72.9583,14.707907
23-04-11,Summer,Cloudy,46,88.7917,15.458575
24-04-11,Summer,Cloudy,58.1667,81.0833,12.875725
25-04-11,Summer,Clear,60.6667,77.6667,12.417311
26-04-11,Summer,Clear,63.1667,72.9167,21.8755
27-04-11,Summer,Cloudy,62,83.5417,20.9174
28-04-11,Summer,Cloudy,61.75,70.0833,21.500836
29-04-11,Summer,Clear,51,45.7083,16.084221
30-04-11,Summer,Clear,47.25,50.3333,15.750025
01-05-11,Summer,Cloudy,45.1667,76.2083,7.125718
02-05-11,Summer,Cloudy,54.9167,73,12.291418
03-05-11,Summer,Cloudy,61.6667,69.7083,22.958689
04-05-11,Summer,Cloudy,41.4167,73.7083,22.042732
05-05-11,Summer,Clear,45.9167,44.4167,19.791264
06-05-11,Summer,Clear,47.9167,59,15.292482
07-05-11,Summer,Clear,52,54.125,10.75015
08-05-11,Summer,Clear,52.8333,63.1667,5.0007125
09-05-11,Summer,Clear,53.25,58.875,11.792
10-05-11,Summer,Clear,53.25,48.9167,7.749957
11-05-11,Summer,Clear,54.25,63.2917,8.083014
12-05-11,Summer,Clear,53.5,74.75,12.707689
13-05-11,Summer,Cloudy,51.25,86.3333,12.041575
14-05-11,Summer,Cloudy,52.0833,92.25,9.04165
15-05-11,Summer,Cloudy,56.25,86.7083,10.249593
16-05-11,Summer,Clear,57.75,78.7917,8.500357
17-05-11,Summer,Cloudy,56.1667,83.7917,18.582718
18-05-11,Summer,Cloudy,55,87,13.499964
19-05-11,Summer,Cloudy,53.0833,82.9583,7.250271
20-05-11,Summer,Clear,53.6667,71.9583,8.375871
21-05-11,Summer,Clear,60.25,62.6667,8.08355
22-05-11,Summer,Clear,60.4167,74.9583,9.916536
23-05-11,Summer,Cloudy,63.1667,81,15.667414
24-05-11,Summer,Cloudy,66,74.0833,13.875164
25-05-11,Summer,Clear,66.0833,69.625,10.333611
26-05-11,Summer,Clear,70.8333,67.75,13.376014
27-05-11,Summer,Clear,68.1667,65.375,16.125493
28-05-11,Summer,Clear,65.5833,72.9583,15.416164
29-05-11,Summer,Clear,66.75,81.875,14.333846
30-05-11,Summer,Clear,73.3333,68.5,8.792075
31-05-11,Summer,Clear,77.5,63.6667,7.459043
01-06-11,Summer,Cloudy,76.4167,67.7083,13.875164
02-06-11,Summer,Clear,71.5,30.5,19.583229
03-06-11,Summer,Clear,62,35.4167,16.959107
04-06-11,Summer,Clear,63.5,45.625,8.250514
05-06-11,Summer,Cloudy,64.8333,65.25,9.292364
06-06-11,Summer,Clear,67.8333,60,8.167032
07-06-11,Summer,Clear,70.75,59.7917,12.583136
08-06-11,Summer,Clear,77.5833,62.2083,9.166739
09-06-11,Summer,Cloudy,80.8333,56.8333,10.042161
10-06-11,Summer,Clear,75.5,60.5,9.417118
11-06-11,Summer,Clear,72.5,65.4583,10.37495
12-06-11,Summer,Clear,69.25,74.7917,10.958989
13-06-11,Summer,Clear,63.5,49.4583,20.45845
14-06-11,Summer,Clear,60.4167,50.7083,18.041961
15-06-11,Summer,Clear,62.6667,47.1667,11.250104
16-06-11,Summer,Cloudy,62.8333,68.8333,13.833557
17-06-11,Summer,Clear,64.9167,73.5833,9.582943
18-06-11,Summer,Clear,69.6667,67.0417,8.000336
19-06-11,Summer,Cloudy,69.9167,66.6667,6.834
20-06-11,Summer,Cloudy,63.5,74.625,10.416825
21-06-11,Fall,Cloudy,68.0833,77.0417,11.458675
22-06-11,Fall,Clear,73.3333,70.75,11.541554
23-06-11,Fall,Cloudy,72.8333,70.3333,15.999868
24-06-11,Fall,Clear,72.4167,57.3333,14.875675
25-06-11,Fall,Clear,69.5,48.3333,14.041257
26-06-11,Fall,Clear,68,51.3333,6.3337311
27-06-11,Fall,Cloudy,68.25,65.8333,7.208396
28-06-11,Fall,Clear,74.4167,63.4167,9.666961
29-06-11,Fall,Clear,72.8333,49.7917,17.542007
30-06-11,Fall,Clear,69.6667,43.4167,12.415904
01-07-11,Fall,Clear,72.25,39.625,6.874736
02-07-11,Fall,Clear,73.8333,44.4583,7.709154
03-07-11,Fall,Cloudy,71.6667,68.25,15.333486
04-07-11,Fall,Cloudy,72.6667,63.7917,5.4591064
05-07-11,Fall,Clear,74.6667,59.0417,8.459286
06-07-11,Fall,Clear,72,74.3333,10.042161
07-07-11,Fall,Clear,75,65.125,10.6664
08-07-11,Fall,Cloudy,70.9167,75.7917,15.083643
09-07-11,Fall,Clear,73.3333,60.9167,11.250104
10-07-11,Fall,Clear,74.75,57.8333,12.292557
11-07-11,Fall,Clear,76.25,63.5833,18.916579
12-07-11,Fall,Clear,79.4167,55.9167,13.417018
13-07-11,Fall,Clear,74.6667,63.1667,9.790911
14-07-11,Fall,Clear,68.0833,47.625,16.124689
15-07-11,Fall,Clear,66.3333,59.125,12.249811
16-07-11,Fall,Clear,68.6667,58.5,13.958914
17-07-11,Fall,Clear,71.9167,60.4167,16.417211
18-07-11,Fall,Clear,74.6667,65.125,14.458868
19-07-11,Fall,Clear,77.6667,65.0417,8.7502
20-07-11,Fall,Clear,76.8333,70.7083,7.625739
21-07-11,Fall,Cloudy,81.5,69.125,14.875407
22-07-11,Fall,Clear,84.8333,58.0417,8.9177
23-07-11,Fall,Clear,84.9167,50,8.791807
24-07-11,Fall,Clear,83,55.0833,11.334457
25-07-11,Fall,Clear,74.3333,75.7083,6.0841561
26-07-11,Fall,Clear,77.1667,54.0833,13.417286
27-07-11,Fall,Clear,77.5,40.2917,12.292021
28-07-11,Fall,Clear,77.9167,58.3333,11.958093
29-07-11,Fall,Clear,83.8333,54.25,11.667246
30-07-11,Fall,Clear,80.4167,46.5833,11.291979
31-07-11,Fall,Clear,80.5833,48.0833,11.042471
01-08-11,Fall,Clear,77.1667,55.0833,10.500039
02-08-11,Fall,Clear,78.3333,49.125,13.79195
03-08-11,Fall,Cloudy,73.1667,65.75,9.084061
04-08-11,Fall,Cloudy,71,75.75,13.20905
05-08-11,Fall,Clear,71.0833,63.0833,12.374632
06-08-11,Fall,Cloudy,71.6667,75.5,15.29275
07-08-11,Fall,Clear,74.25,75.2917,13.499629
08-08-11,Fall,Clear,76.5,59.2083,12.875725
09-08-11,Fall,Clear,77.5,57.0417,10.125107
10-08-11,Fall,Clear,76.6667,42.4167,13.417286
11-08-11,Fall,Clear,71.75,42.375,11.041332
12-08-11,Fall,Clear,70.8333,41.5,8.416607
13-08-11,Fall,Cloudy,68.5833,72.9583,14.167418
14-08-11,Fall,Cloudy,67.6667,81.75,14.916411
15-08-11,Fall,Clear,66.5833,71.2083,13.999918
16-08-11,Fall,Clear,70.0833,57.8333,15.834043
17-08-11,Fall,Clear,72.3333,57.5417,9.625689
18-08-11,Fall,Clear,71.1667,65.4583,15.624936
19-08-11,Fall,Cloudy,68.5,72.2917,9.333636
20-08-11,Fall,Clear,69.75,67.4167,6.999289
21-08-11,Fall,Clear,71.0833,77,16.666518
22-08-11,Fall,Clear,69.1667,47,18.54225
23-08-11,Fall,Clear,64.0833,45.5417,9.833121
24-08-11,Fall,Clear,67.3333,60.5,16.958236
25-08-11,Fall,Cloudy,68.4167,77.1667,14.125811
26-08-11,Fall,Clear,70,76.125,5.6254875
27-08-11,Fall,Cloudy,68,85,25.166339
28-08-11,Fall,Clear,70.7059,56.1765,20.412153
29-08-11,Fall,Clear,63.6667,55.4583,10.708275
30-08-11,Fall,Clear,63.9167,54.8333,8.375536
31-08-11,Fall,Clear,65.6667,59.7917,5.5833311
01-09-11,Fall,Clear,65.5,63.9167,9.500332
02-09-11,Fall,Cloudy,64.3333,72.7083,9.375243
03-09-11,Fall,Clear,66.9167,71.6667,12.416775
04-09-11,Fall,Clear,70.9167,74.2083,13.833289
05-09-11,Fall,Cloudy,67.3333,79.0417,14.250632
06-09-11,Fall,Light Snow,54,88.6957,23.044181
07-09-11,Fall,Light Snow,59.9167,91.7083,6.5003936
08-09-11,Fall,Light Snow,63.3913,93.9565,12.914116
09-09-11,Fall,Cloudy,65,89.7917,8.333393
10-09-11,Fall,Clear,66,75.375,10.291736
11-09-11,Fall,Clear,65.3333,71.375,7.708618
12-09-11,Fall,Clear,64.4348,69.2174,5.957171
13-09-11,Fall,Clear,65.0833,71.25,9.500868
14-09-11,Fall,Clear,67.3333,69.7083,11.2091
15-09-11,Fall,Cloudy,57.75,70.9167,18.166782
16-09-11,Fall,Cloudy,46.9167,59.0417,11.000261
17-09-11,Fall,Cloudy,49.1667,71.8333,12.708225
18-09-11,Fall,Clear,50.75,69.5,11.958361
19-09-11,Fall,Cloudy,54.9167,69,10.166714
20-09-11,Fall,Cloudy,56.1667,88.125,9.041918
21-09-11,Fall,Cloudy,59.5,90,6.4590814
22-09-11,Fall,Cloudy,62.8333,90.2083,8.584375
23-09-11,Winter,Cloudy,60.9167,97.25,5.2505689
24-09-11,Winter,Cloudy,60.6667,86.25,5.2516811
25-09-11,Winter,Cloudy,63.4167,84.5,3.3754064
26-09-11,Winter,Cloudy,64.9167,84.8333,7.4169
27-09-11,Winter,Cloudy,63.6667,88.5417,7.917457
28-09-11,Winter,Cloudy,63.5,84.875,9.958143
29-09-11,Winter,Clear,61.6667,69.9167,11.583161
30-09-11,Winter,Clear,56.4167,64.75,13.833825
01-10-11,Winter,Cloudy,41,75.375,19.583832
02-10-11,Winter,Cloudy,35.6667,79.1667,14.874871
03-10-11,Winter,Cloudy,38.4167,76.0833,5.5841686
04-10-11,Winter,Clear,48.4167,71,13.792218
05-10-11,Winter,Clear,53.8333,64.7917,11.87575
06-10-11,Winter,Clear,49.4167,62.0833,9.041918
07-10-11,Winter,Clear,51.0833,68.4167,1.5002439
08-10-11,Winter,Clear,52.1667,70.125,3.0420814
09-10-11,Winter,Clear,54.0833,72.75,4.25115
10-10-11,Winter,Clear,57.0833,73.375,2.8343814
11-10-11,Winter,Cloudy,56.6667,80.875,9.583814
12-10-11,Winter,Light Snow,54.3333,90.625,16.62605
13-10-11,Winter,Cloudy,58.9167,89.6667,9.499729
14-10-11,Winter,Cloudy,55.0833,71.625,15.000161
15-10-11,Winter,Clear,50.6667,48.3333,17.291561
16-10-11,Winter,Clear,51.1667,48.6667,18.875039
17-10-11,Winter,Clear,53.4167,57.9583,11.750393
18-10-11,Winter,Cloudy,53.25,70.1667,7.375829
19-10-11,Winter,Light Snow,54.1739,89.5217,16.303713
20-10-11,Winter,Clear,47.5833,63.625,28.292425
21-10-11,Winter,Clear,42.75,57.4167,14.833532
22-10-11,Winter,Clear,42.25,62.9167,6.2086689
23-10-11,Winter,Clear,42.1667,74.125,6.6673375
24-10-11,Winter,Clear,46.3333,77.2083,7.959064
25-10-11,Winter,Clear,47.1667,62.2917,11.166086
26-10-11,Winter,Cloudy,48.4167,72.0417,9.959014
27-10-11,Winter,Cloudy,47,81.2917,13.250121
28-10-11,Winter,Cloudy,33.0833,58.5833,15.375093
29-10-11,Winter,Light Snow,25.4167,88.25,23.541857
30-10-11,Winter,Clear,31.9167,62.375,11.833339
31-10-11,Winter,Clear,34,70.3333,7.12545
01-11-11,Winter,Clear,40.0833,68.375,9.083257
02-11-11,Winter,Clear,37.75,71.875,5.5001439
03-11-11,Winter,Clear,40.8333,70.2083,9.166739
04-11-11,Winter,Cloudy,40.3333,62.25,18.209193
05-11-11,Winter,Clear,32.6667,51.9167,12.667154
06-11-11,Winter,Clear,34.8333,73.4583,6.1676314
07-11-11,Winter,Clear,39.5,75.875,3.834075
08-11-11,Winter,Clear,40.8333,72.1667,4.6255125
09-11-11,Winter,Clear,40,75.8333,4.1671186
10-11-11,Winter,Cloudy,38,81.3333,12.667489
11-11-11,Winter,Clear,32.4167,44.625,21.083225
12-11-11,Winter,Clear,35.6667,55.2917,14.208154
13-11-11,Winter,Clear,44.0833,45.8333,18.875307
14-11-11,Winter,Clear,53,58.7083,20.541932
15-11-11,Winter,Cloudy,53,68.875,13.375411
16-11-11,Winter,Light Snow,45.6667,93,9.167543
17-11-11,Winter,Cloudy,34.1667,57.5833,20.459254
18-11-11,Winter,Clear,27.4167,41,11.291711
19-11-11,Winter,Clear,32.9167,50.2083,15.041232
20-11-11,Winter,Cloudy,46.3333,68.4583,12.45865
21-11-11,Winter,Light Snow,44.75,91,9.249618
22-11-11,Winter,Light Snow,41.6667,96.25,7.959064
23-11-11,Winter,Cloudy,44.0833,75.7917,22.500275
24-11-11,Winter,Clear,37.3333,54.9167,11.209368
25-11-11,Winter,Clear,37.5,64.375,6.6260186
26-11-11,Winter,Clear,37.5833,68.1667,4.5841936
27-11-11,Winter,Clear,45.9167,69.8333,13.999918
28-11-11,Winter,Clear,50.3478,74.3043,9.522174
29-11-11,Winter,Cloudy,45.8333,83.0833,17.292164
30-11-11,Winter,Clear,32.5,61.3333,18.167586
01-12-11,Winter,Clear,31.25,52.4583,14.750586
02-12-11,Winter,Clear,31.4167,62.5833,6.750518
03-12-11,Winter,Clear,29.9167,61.2917,6.4174811
04-12-11,Winter,Clear,33.0833,77.5833,5.6252061
05-12-11,Winter,Cloudy,38.5833,82.7083,4.1679561
06-12-11,Winter,Light Snow,46.25,94.9583,15.583061
07-12-11,Winter,Light Snow,41,97.0417,17.833725
08-12-11,Winter,Clear,26.5833,58,16.083886
09-12-11,Winter,Clear,29.0833,69.5833,5.5420189
10-12-11,Winter,Clear,27.5,50.75,15.625807
11-12-11,Winter,Clear,22.0833,49,4.4582939
12-12-11,Winter,Clear,23.8333,67.0833,4.25115
13-12-11,Winter,Clear,28.25,59,9.41685
14-12-11,Winter,Cloudy,31.75,66.375,4.0842061
15-12-11,Winter,Cloudy,42.25,63.4167,17.958814
16-12-11,Winter,Cloudy,37.5,50.0417,17.458525
17-12-11,Winter,Cloudy,25.8333,56.0833,16.292189
18-12-11,Winter,Clear,23.8333,58.625,11.375193
19-12-11,Winter,Clear,27.6667,63.75,11.584032
20-12-11,Winter,Cloudy,38.5833,59.5417,4.1252436
21-12-11,Spring,Cloudy,42.8333,85.8333,14.8338
22-12-11,Spring,Cloudy,42.3333,75.75,3.167425
23-12-11,Spring,Clear,37.3333,68.625,18.374482
24-12-11,Spring,Clear,30.25,54.25,12.750368
25-12-11,Spring,Clear,27.4783,68.1304,10.391097
26-12-11,Spring,Clear,32.1739,50.6957,16.044155
27-12-11,Spring,Cloudy,32.5,76.25,12.62615
28-12-11,Spring,Clear,29.913,50.3913,19.695387
29-12-11,Spring,Clear,24.8333,57.4167,8.000604
30-12-11,Spring,Clear,31.1667,63.6667,9.000579
31-12-11,Spring,Clear,41,61.5833,14.750318
